Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
4,19-10-2012,2097266.85,0,64.46,3.61,131.1499677,3.879
4,28-09-2012,2027620.23,0,71.74,3.666,131.043,4.077
40,13-04-2012,857811.17,0,40.65,4.025,137.868,4.125
40,19-10-2012,918170.5,0,46.33,4.0,138.8336129,4.145
40,21-09-2012,899768.4,0,54.12,4.056,138.6534,4.156
40,27-01-2012,770157.29,0,22.91,3.568,136.9598387,4.261
4,27-04-2012,2064065.66,0,76.47,3.81,131.1266667,4.308
40,18-11-2011,905399.99,0,41.85,3.571,136.4666667,4.42
40,23-09-2011,876583.98,0,54.09,3.758,136.367,4.584
4,27-01-2012,1928720.51,0,40.31,3.29,130.3144516,4.607
40,01-04-2011,841889.08,0,28.6,3.638,134.0682581,4.781
9,19-10-2012,542009.46,0,68.01,3.594,227.214288,4.954
40,21-01-2011,764014.75,0,14.64,3.232,133.0285161,5.114
8,26-10-2012,891671.44,0,64.74,3.506,227.0369359,5.124
4,30-12-2011,2007105.86,1,36.89,3.119,130.0710323,5.143
44,19-10-2012,323766.77,0,52.06,3.781,131.1499677,5.217
9,27-07-2012,495951.0,0,86.41,3.407,225.6970779,5.277
40,31-12-2010,811318.3,1,19.29,3.177,132.8150323,5.287
40,24-09-2010,844373.31,0,55.63,2.718,132.7619333,5.326
6,26-10-2012,1431426.34,0,72.34,3.506,225.0686254,5.329
8,27-07-2012,838227.52,0,81.71,3.407,225.5029014,5.401
44,27-07-2012,319855.26,0,80.42,3.537,130.7195806,5.407
5,19-10-2012,313358.15,0,69.17,3.594,224.0192873,5.422
40,30-04-2010,816838.31,0,46.5,2.935,132.0644333,5.435
17,12-10-2012,919878.34,0,44.82,3.797,131.1083333,5.527
9,20-04-2012,542819.03,0,68.04,3.877,225.3117488,5.539
5,14-09-2012,299800.67,0,76.65,3.717,223.1734167,5.603
44,13-04-2012,311390.22,0,51.7,3.833,131.108,5.621
4,30-09-2011,1929486.63,0,72.15,3.371,129.6060667,5.644
9,13-01-2012,474964.6,0,42.44,3.261,223.6168049,5.667
6,28-09-2012,1369131.46,0,77.82,3.666,224.6029706,5.668
8,20-04-2012,872288.46,0,63.59,3.877,225.1179914,5.679
13,27-07-2012,1914430.53,0,80.42,3.537,130.7195806,5.765
44,23-03-2012,296947.06,0,47.83,3.671,130.8966452,5.774
5,27-04-2012,324839.74,0,68.96,3.814,222.2053519,5.801
8,27-01-2012,778178.53,0,45.52,3.29,223.6133539,5.825
16,05-10-2012,471281.68,0,50.46,3.779,198.8221322,5.847
40,26-02-2010,863917.41,0,33.32,2.753,131.686,5.892
